name;open;high;low;close;volume;marketCap;timestamp
"2798";1079.6362681802;1080.6582243667;727.9157903652;738.2323103635;11259451957.319818;0;"2020-04-13T00:00:00.000Z"
"2798";745.5036064592;872.0926725646;626.7205310511;781.9905170056;10120207737.510035;0;"2020-04-20T00:00:00.000Z"
"2798";782.2458007165;968.1751112205;686.5742631188;832.280358819;4095526609.0760407;0;"2020-04-27T00:00:00.000Z"
"2798";832.3913244514;864.8249619299;625.8560487707;655.0202620029;2850774435.4998064;0;"2020-05-04T00:00:00.000Z"
"2798";654.0702314537;789.4831492094;618.3873230504;755.8703651843;3581561780.4649982;0;"2020-05-11T00:00:00.000Z"
"2798";755.492553145;840.4802401109;669.6680412132;681.1278005566;3436395174.1239176;0;"2020-05-18T00:00:00.000Z"
"2798";680.5123062072;806.8407535757;666.5075240253;701.9650170359;2348263534.4868016;0;"2020-05-25T00:00:00.000Z"
"2798";706.2140069155;838.5217103754;673.4898421335;741.194407608;882699802.7408996;13098247207.550093;"2020-06-01T00:00:00.000Z"
"2798";739.3913695445;812.9615861306;688.6433689332;706.6112325642;1049941811.5995783;12173909557.066982;"2020-06-08T00:00:00.000Z"
"2798";708.1715527972;1012.7029172834;664.0452005792;815.7827948487;2694097000.920526;13975695536.509985;"2020-06-15T00:00:00.000Z"
"2798";815.0898064178;1015.915613263;784.5149696524;961.0928907936;4135674402.6168356;16691561405.063284;"2020-06-22T00:00:00.000Z"
"2798";961.0928907936;1233.2722486857;770.7962199273;829.5397762927;4572610157.604219;14359265104.938595;"2020-06-29T00:00:00.000Z"
"2798";829.6504237878;1357.8750614437;821.266882879;1220.5878526896;5629697790.637252;21034090617.55423;"2020-07-06T00:00:00.000Z"
"2798";1220.5878526896;1679.0721417275;965.4808787657;1107.6682298663;2649152714.997109;19055767525.221672;"2020-07-13T00:00:00.000Z"
"2798";1107.8676658798;1951.998340022;1025.1285439196;1880.463646965;12592690493.04555;32485209168.82107;"2020-07-20T00:00:00.000Z"
"2798";1880.4494163732;2505.0754177565;1686.446314169;2081.5952589141;8670644366.821104;36110413825.47892;"2020-07-27T00:00:00.000Z"
"2798";2069.0299579448;3218.8996116459;1991.7912128029;3169.3552808133;14461479303.538912;54893512412.88226;"2020-08-03T00:00:00.000Z"
"2798";3677.446368815;4842.6009;3668.4317375;4024.06556271;123821000947.05821;69512551040.09567;"2020-08-10T00:00:00.000Z"
"2798";4024.06556271;4334.7576;3362.0604;4028.2183609137;131423979703.14957;69160183529.08925;"2020-08-17T00:00:00.000Z"
"2798";4029.0335991752;5292.1436034281;42.3008666987;5172.0635461608;141349021356.96893;169373369103.5785;"2020-08-24T00:00:00.000Z"
"2798";5315.0175475946;5789.509783864;2690.9789920188;3656.234169581;195339131432.20822;122135914395.40694;"2020-08-31T00:00:00.000Z"
"2798";3656.234169581;4537.1523576015;2787.0997228128;3805.7501862648;175457016648.5707;133664865596.92487;"2020-09-07T00:00:00.000Z"
"2798";3853.9254582029;4117.1573077908;2780.2928679369;3343.2554580621;164473173226.8672;127492034189.91103;"2020-09-14T00:00:00.000Z"
"2798";3341.5349425821;3834.7080113454;2920.726537365;3702.9466145268;132309386174.59349;143824062443.53818;"2020-09-21T00:00:00.000Z"
"2798";3702.662482273;3760.9834461233;2832.9345918417;2934.5554600697;79219827514.15495;122435902584.2431;"2020-09-28T00:00:00.000Z"
"2798";2938.2180754178;3081.1346964481;2334.3513898411;2775.1562041632;84622822172.29144;120100877803.52342;"2020-10-05T00:00:00.000Z"
"2798";2774.6258593487;3099.1170735207;2439.7717189488;2529.0910813078;77789847864.57939;110214151361.76613;"2020-10-12T00:00:00.000Z"
"2798";2528.0684764696;2528.2282445552;1995.8231948684;2017.0556617972;91683536505.12338;91404285374.5938;"2020-10-19T00:00:00.000Z"
"2798";2017.0556617972;2108.9080355393;1524.5097900439;1818.4667001675;84351855348.99797;82663474480.9643;"2020-10-26T00:00:00.000Z"
"2798";1818.4667001675;2783.8443727783;1449.7003816766;2419.2474277667;151332459137.19986;112472683657.58978;"2020-11-02T00:00:00.000Z"
"2798";2419.2474277667;2578.9452548454;2038.966290866;2263.9102587554;110095849563.70683;105228159865.40881;"2020-11-09T00:00:00.000Z"
"2798";2263.9102587554;2786.5175658175;2210.9924581522;2391.5260759262;123912838261.90656;109357504378.61597;"2020-11-16T00:00:00.000Z"
"2798";2391.5260647761;2741.5485767808;1927.7108665523;2116.3115643518;144441170476.27;98259832546.74283;"2020-11-23T00:00:00.000Z"
"2798";2116.2975525173;2425.4906957923;1968.1501627147;2009.7647204232;105317772868.00099;94794486265.56807;"2020-11-30T00:00:00.000Z"
"2798";2008.899954782;2054.2927910074;1564.5135401675;1709.2017247117;62980130255.691864;78493633779.68867;"2020-12-07T00:00:00.000Z"
"2798";1711.9449971317;1973.1567944035;1663.1011234944;1718.9325525711;96024700374.64566;79501860937.22806;"2020-12-14T00:00:00.000Z"
"2798";1719.1507534746;1784.7281028294;1206.6333442625;1433.9185420894;81197096548.43178;66711997131.89195;"2020-12-21T00:00:00.000Z"
"2798";1434.9654229953;2567.7311576978;1424.3522252971;2350.3357556639;194686768213.44922;110784166399.2288;"2020-12-28T00:00:00.000Z"
"2798";2351.053505762;4136.8657667035;2030.4653381237;3788.4922769329;741202739190.4009;986968553281.0271;"2021-01-04T00:00:00.000Z"
"2798";3782.9766992;4378.8019497189;2849.3044755946;4215.8754060618;516354454713.21045;1092978050089.452;"2021-01-11T00:00:00.000Z"
"2798";4220.2832755756;4593.9350569765;2801.078812359;4018.2172482565;364040839474.9896;1051007472465.8635;"2021-01-18T00:00:00.000Z"
"2798";4018.4762026793;5353.9356838036;3807.1490033969;4769.2306990575;1617991925129.8433;1234715637270.98;"2021-01-25T00:00:00.000Z"
"2798";4769.0167343193;7968.3608851372;4608.661719736;7490.6637577466;667535836468.2637;1963958098469.3896;"2021-02-01T00:00:00.000Z"
"2798";7492.8823167586;10966.1486500824;7255.2517406001;9650.9975973694;812708988067.2015;2558631776453.1035;"2021-02-08T00:00:00.000Z"
"2798";9634.8407025718;13036.6027463313;8350.5593318162;12257.0032870909;980592450599.7095;3206322212107.303;"2021-02-15T00:00:00.000Z"
"2798";12243.2079023958;20116.2913547298;10303.0630203777;14723.8910125363;2915843850250.471;3790346385711.39;"2021-02-22T00:00:00.000Z"
"2798";14745.4757575441;17377.963252702;13427.2626444249;15655.7095394174;1217771706842.269;4088482689984.148;"2021-03-01T00:00:00.000Z"
"2798";15598.2692258677;18642.3636839953;14899.2762615131;16485.4993553179;1131997026499.0051;4372267932933.8774;"2021-03-08T00:00:00.000Z"
"2798";16450.1168476817;16917.2983507891;14818.0014903377;16187.9485674794;670031127292.379;4355705695230.1504;"2021-03-15T00:00:00.000Z"
"2798";16208.3607780916;21886.0254578638;14012.584204353;20339.5689787998;1584488923808.8965;5454848441113.329;"2021-03-22T00:00:00.000Z"
"2798";20415.2870208506;28888.0751229053;20051.1490596582;27184.2565854623;2146371680994.634;7287727485454.404;"2021-03-29T00:00:00.000Z"
"2798";27034.5776004707;32509.0159505447;24450.5138607937;31369.1897795403;2740260505665.87;8521038404957.404;"2021-04-05T00:00:00.000Z"
"2798";31354.0034919556;36740.6840663689;24051.757953314;36071.0843080932;3064199073467.7646;9795776044352.395;"2021-04-12T00:00:00.000Z"
"2798";36111.9574390828;54008.9606314125;32285.5802130678;52821.1252573927;9689521859844.537;14273554475851.428;"2021-04-19T00:00:00.000Z"
"2798";53015.4125723724;55772.5043628951;45274.0924653141;52412.7862637066;6714614541486.366;14256111179802.953;"2021-04-26T00:00:00.000Z"
"2798";52427.307317827;55002.3569295832;46464.2261252086;49338.247484064;4094856090316.04;13509304651095.906;"2021-05-03T00:00:00.000Z"
"2798";49351.4888741248;59145.9217237548;42423.4189176127;53173.2175819556;6830727618728.213;14322510590649.236;"2021-05-10T00:00:00.000Z"
"2798";52832.0992849385;65773.5098884423;21585.7190371364;27843.7326754967;15784541638254.08;7582769932562.333;"2021-05-17T00:00:00.000Z"
